timestamp_ms,distance_mm,session_time_s,repetition_count
346083,368,52,2
346415,367,52,2
346748,370,52,2
347081,357,53,2
347415,273,53,2
347753,185,53,2
348082,121,54,2
348412,295,54,2
348746,407,54,2
349081,287,55,2
349419,115,55,2
349743,167,55,3
350077,389,56,3
350409,456,56,3
350743,328,56,3
351081,195,57,3
351407,236,57,3
351741,406,57,3
352074,475,58,3
352407,348,58,3
352747,190,58,3
353071,126,59,4
353405,306,59,4
353738,484,59,4
354070,525,60,4
354404,379,60,4
354744,214,60,4
355068,133,61,5
355402,373,61,5
355734,534,61,5
356067,520,62,5
356402,313,62,5
356741,136,62,6
357065,187,63,6
357399,467,63,6
357730,507,63,6
358067,337,64,6
358403,156,64,7
358729,192,64,7
359062,475,65,7
359395,504,65,7
359733,286,65,7
360061,137,66,8
360394,351,66,8
360727,570,66,8
361059,502,67,8
361400,189,67,8
361724,150,67,9
362058,401,68,9
362391,556,68,9
362723,462,68,9
363060,280,69,9
363390,135,69,10
363722,365,69,10
364054,550,70,10
364388,481,70,10
364724,299,70,10
365055,175,71,11
365387,357,71,11
365718,526,71,11
366052,464,72,11
366390,245,72,11
366717,201,72,12
367050,424,73,12
367383,543,73,12
367717,443,73,12
368057,189,74,12
368381,139,74,13
368714,360,74,13
369046,529,75,13
369380,413,75,13
369717,177,75,13
370045,248,76,14
370379,447,76,14
370710,474,76,14
371047,294,77,14
371379,131,77,15
371709,293,77,15
372043,513,78,15
372374,430,78,15
372716,216,78,15
373040,181,79,16
373373,452,79,16
373705,506,79,16
374042,327,80,16
374378,176,80,17
374704,268,80,17
375038,478,81,17
375370,453,81,17
375709,288,81,17
376038,94,82,18
376368,271,82,18
376701,547,82,18
377034,511,83,18
377370,319,83,18
377706,111,83,19
378033,207,84,19
378366,461,84,19
378698,513,84,19
379035,350,85,19
379367,137,85,20
379697,279,85,20
380029,530,86,20
380362,532,86,20
380700,371,86,20
381030,153,87,21
381361,345,87,21
381695,388,87,21
382028,229,88,21
382360,156,88,22
382692,511,88,22
383025,499,89,22
383359,333,89,22
383693,170,89,23
384024,342,90,23
384356,521,90,23
384689,527,90,23
385024,351,91,23
385358,128,91,24
385688,202,91,24
386021,474,92,24
386354,426,92,24
386690,282,92,24
387021,98,93,24
387353,328,93,25
387684,548,93,25
388019,449,94,25
388353,171,94,25
388685,107,94,26
389016,277,95,26
389349,526,95,26
389682,464,95,26
390018,296,96,26
390349,149,96,27
390680,324,96,27
391013,510,97,27
391347,386,97,27
391683,227,97,27
392013,171,98,28
392345,381,98,28
392677,517,98,28
393010,391,99,28
393347,225,99,28
393676,133,99,29
394009,360,100,29
394341,470,100,29
394674,311,100,29
395012,149,101,30
395340,144,101,30
395672,401,101,30
396005,453,102,30
396339,282,102,30
396674,140,102,31
397004,229,103,31
397336,446,103,31
397670,363,103,31
398006,198,104,31
398335,84,104,32
398667,280,104,32
399000,439,105,32
399335,293,105,32
399672,188,105,32
399999,118,106,32
400332,398,106,32
400664,427,106,32
401001,312,107,32
401337,117,107,32
401662,195,107,33
401996,460,108,33
402328,407,108,33
402668,244,108,33
402995,93,109,34
403326,233,109,34
403660,455,109,34
403992,417,110,34
404329,233,110,34
404658,126,110,35
404989,320,111,35
405323,480,111,35
405655,399,111,35
405993,210,112,35
406321,129,112,36
406653,274,112,36
406986,462,113,36
407321,336,113,36
407659,174,113,36
407985,225,114,37
408318,359,114,37
408650,431,114,37
408988,327,115,37
409320,154,115,37
409649,235,115,38
409982,530,116,38
410314,403,116,38
410655,263,116,38
410980,115,117,38
411312,239,117,38
411646,496,117,38
411978,418,118,38
412315,280,118,38
412648,162,118,38
412977,216,119,38
413310,450,119,38
413641,447,119,38
413982,251,120,38
414312,95,120,39
414639,248,120,39
414974,489,121,39
415306,386,121,39
415646,236,121,39
415971,196,122,40
416305,380,122,40
416637,472,122,40
416972,325,123,40
417311,192,123,40
417635,209,123,40
417968,487,124,40
418301,444,124,40
418642,286,124,40
418966,123,125,41
419299,328,125,41
419633,473,125,41
419966,329,126,41
420304,219,126,41
420630,177,126,41
420964,467,127,41
421297,406,127,41
421631,229,127,41
421964,139,128,42
422294,411,128,42
422627,503,128,42
422960,367,129,42
423296,150,129,42
423625,186,129,43
423957,448,130,43
424290,431,130,43
424627,257,130,43
424961,111,131,44
425289,255,131,44
425622,469,131,44
425955,348,132,44
426294,166,132,44
426620,166,132,45
426953,401,133,45
427286,475,133,45
427621,325,133,45
427958,175,134,45
428285,189,134,46
428617,447,134,46
428950,467,135,46
429285,337,135,46
429621,159,135,46
429949,161,136,47
430281,395,136,47
430614,444,136,47
430950,303,137,47
431288,136,137,47
431611,256,137,48
431946,499,138,48
432278,379,138,48
432617,206,138,48
432944,168,139,49
433277,408,139,49
433609,495,139,49
433942,333,140,49
434282,94,140,50
434608,165,140,50
434940,446,141,50
435273,463,141,50
435608,322,141,50
